id,type,question,answerKey,skillref,step-name,ds-step-name,KC
elearning-mcq-26,Multiple Choice,"In the examples below, choose the cognitive process that best fits the description.
Thinking needed to perform the given task or to engage in straightforward processing (e.g., selection) of relevant instructional material.
a) Essential processing
b) Extraneous processing
c) Generative processing
Answer: a",a,distinguish_3_forms_of_cognitive_load_proc_skill,q3_distinguish_3_forms_cog_proc_load_1_c987767af4044963b0da9aab002242ad,"Activity gltl7_distinguish_3_forms_cog_proc_l_65nmr, part c987767af4044963b0da9aab002242ad Multiple choice submission",!
elearning-mcq-27,Multiple Choice,"True or false? Learning and instruction are essentially the same.
a) True
b) False
Answer: b",b,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,agent1_6-q2_bc3ed89f1c2d487aa52666895b0e80bb,"Activity gltl7_distinguish_lrng_vs_instrctn_1_422xg, part bc3ed89f1c2d487aa52666895b0e80bb Multiple choice submission",!
elearning-mcq-28,Multiple Choice,"What are differences between learning and instruction?
a) Learning is observable and instruction is not
b) Instruction is observable and learning is not
c) Instruction changes knowledge, learning changes students’ experiences.
Answer: b",b,distinguish_tech_vs_lrng_centrd_lrng_vs_instrctn_skill,agent1_6-q3_ae45be891edc4c089e10c4410ce97ad5,"Activity gltl7_distinguish_lrng_vs_instrctn_1_o6kz6, part ae45be891edc4c089e10c4410ce97ad5 Multiple choice submission",!
elearning-mcq-34,Multiple Choice,"What's an example of an instructional principle that serves the function of improving memory?
a) Spacing
b) Applying new knowledge
c) Worked examples
d) Assistance dilemma
e) Use of images
Answer: a",a,explain_why_instrctnl_desgn_complx_skill,q1_explain_why_instrctnl_desgn_complx_1_aa7cad6630d34085a7a9622d55c82fda,"Activity gltl7_explain_why_instrctnl_desgn_co_m3dnd, part aa7cad6630d34085a7a9622d55c82fda Multiple choice submission",!
elearning-mcq-38,Multiple Choice,"Which of the following statements accurately describes the reason why e-learning material with the pitfall “too much of a good thing” hurts learning?
a) Because of learners’ limited capacity, they can actively process only a few pieces of information in each sensory channel at one time.
b) Because of learner’s limited capacity,  they have separate channels for processing visual/pictorial material and auditory/verbal material.
c) Because of dual channels in learner’s working memory, they can actively process only a few pieces of information in each channel at one time.
Answer: a",a,identify_3_metphors_3_princpls_procs_4_key_lrng_evnt-princpls_skill,newfde98bc8b4f74540a61d5a57e6d08f61_1a_bab2028e041541ceb6cb92b8dea9b31b,"Activity gltl7_identify3metaphorsforlearning2_85vfw, part bab2028e041541ceb6cb92b8dea9b31b Multiple choice submission",!
elearning-mcq-39,Multiple Choice,"Based on media comparison research, which of the following statements is most valid regarding the learning effectiveness of instructional media:
a) Classroom learning generally leads to better outcomes than digital learning
b) Digital learning generally leads to better outcomes than classroom learning
c) Learning depends more on the design of the lesson than on the delivery medium
d) Digital learning is more effective than classroom learning for younger adults
Answer: c",c,evaluate_resrch_evdnc_media_comprsns_skill,q1_evaluate_resrch_evdnc_media_comprsns_pool_fc0adcaf180e44409ab2fc8710ad19fd,"Activity gltl7_evaluate_resrch_evdnc_media_co_akc1x, part fc0adcaf180e44409ab2fc8710ad19fd Multiple choice submission",!
elearning-mcq-40,Multiple Choice,"An e-learning lesson with a step-by-step demonstration and practice on how to schedule a meeting in Microsoft Outlook is primarily designed to:
a) Inform learners
b) Help learners achieve near transfer performance
c) Help learners achieve far transfer performance
d) Motivate learners
Answer: b",b,classify_kinds_elrng_skill,q1_classify_kinds_elrng_pool_be3a20bbfb7d421fbfe8845d82b44b2b,"Activity gltl7_classify_kinds_elrng_poolq1_cl_i141e, part be3a20bbfb7d421fbfe8845d82b44b2b Multiple choice submission",!
elearning-mcq-48,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Where in the Instructional Design Process diagram is Goal setting found?
a) 1
b) 4
c) 5
d) It’s not in the diagram
Answer: a",a,recall_elmnts_bigpic_skill,q1_recall_elmnts_bigpic_pool_f6140a0d931445408ce4eccaf9c93249,"Activity gltl7_recall_elmnts_bigpic_poolq1_re_n31wq, part f6140a0d931445408ce4eccaf9c93249 Multiple choice submission",!
elearning-mcq-49,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Assessment Task Design is influenced by the specification of goals and is used to collect data on student performance. Where is Assessment Task Design located in The BIG PICTURE diagram?
a) 2
b) 5
c) 6
d) It’s not in the diagram
Answer: a",a,recall_elmnts_bigpic_skill,q2_recall_elmnts_bigpic_pool_f95841fadab3408188216d1417ebbfe6,"Activity gltl7_recall_elmnts_bigpic_poolq2_re_yac3g, part f95841fadab3408188216d1417ebbfe6 Multiple choice submission",!
elearning-mcq-50,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Which box in the diagram shows the component of the Instructional Design Process that is directly influenced by models and insights, which are the consequence of data analysis and theory.
a) Instructional Design in box 2
b) Instructional Design in box 5
c) Instructional Design in box 6
d) This part of the process is not in the diagram
Answer: c",c,recall_elmnts_bigpic_skill,q3_recall_elmnts_bigpic_pool_c520234d25b34bd1b4baef232f6f3d3e,"Activity gltl7_recall_elmnts_bigpic_poolq3_re_y4e6i, part c520234d25b34bd1b4baef232f6f3d3e Multiple choice submission",!
elearning-mcq-51,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Which box in the diagram shows the component of the Instructional Design Process that is used to guide and justify the decisions for model building and insight creation.
a) Assessment Task Design in box 2
b) Theory in box 4
c) Models & Insights in box 5
d) This part of the process is not in the diagram
Answer: b",b,recall_elmnts_bigpic_skill,q4_recall_elmnts_bigpic_pool_f9f1e262321f4630a6b2ba9cf7a9b75f,"Activity gltl7_recall_elmnts_bigpic_poolq4_re_hjpsc, part f9f1e262321f4630a6b2ba9cf7a9b75f Multiple choice submission",!
elearning-mcq-52,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Models & Insights are the consequence of data and theory and influence all other aspects of the design. Where in the diagram are models and insights located?
a) 2
b) 5
c) 6
d) It’s not in the diagram
Answer: b",b,recall_elmnts_bigpic_skill,q5_recall_elmnts_bigpic_pool_a206d916851441db9bf87f0bebcbb776,"Activity gltl7_recall_elmnts_bigpic_poolq5_re_hcuex, part a206d916851441db9bf87f0bebcbb776 Multiple choice submission",!
elearning-mcq-53,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Where in the Instructional Design Process diagram is Intuition and Experience found?
a) 1
b) 4
c) 8
d) It’s not in the diagram
Answer: c",c,recall_elmnts_bigpic_skill,q6_recall_elmnts_bigpic_pool_d4f40ff8020c407799a0114a63f23176,"Activity gltl7_recall_elmnts_bigpic_poolq6_re_rmee7, part d4f40ff8020c407799a0114a63f23176 Multiple choice submission",!
elearning-mcq-54,Multiple Choice,"Instructional Design Process: The BIG PICTURE
Data results from both assessment and instructional interactions. It is used to generate insights and create models of learners and learning. Where in the diagram is data found?
a) 2 and 6
b) 3 and 7
c) 4
d) 5
Answer: b",b,recall_elmnts_bigpic_skill,q7_recall_elmnts_bigpic_pool_bd79014b3e4e4f638d9c61be68bc4fb8,"Activity gltl7_recall_elmnts_bigpic_poolq7_re_oehh9, part bd79014b3e4e4f638d9c61be68bc4fb8 Multiple choice submission",!
elearning-mcq-55,Multiple Choice,"Which of the following belongs in 1 because it is the starting point in backward design, drives the creation of assessment tasks and is influenced by models and insights
a) Goal setting
b) Instructional Design
c) Assessment Design
d) Theory
Answer: a",a,recall_elmnts_bigpic_skill,q8_recall_elmnts_bigpic_pool_bed13211a6284330a7a83ab6d49e8d59,"Activity gltl7_recall_elmnts_bigpic_poolq8_re_yxcy2, part bed13211a6284330a7a83ab6d49e8d59 Multiple choice submission",!
elearning-mcq-56,Multiple Choice,"Which of the following belongs in 2 because it is influenced by the specification of goals and is used to collect data on student performance.
a) Assessment Design
b) Instructional Design
c) Theory
d) Models & Insights
Answer: a",a,recall_elmnts_bigpic_skill,q9_recall_elmnts_bigpic_pool_ab104518ca3f4e37a4b02249d3052c1c,"Activity gltl7_recall_elmnts_bigpic_poolq9_re_q0121, part ab104518ca3f4e37a4b02249d3052c1c Multiple choice submission",!
elearning-mcq-57,Multiple Choice,"Which of the following belongs in 3 because it results from assessment design and is used to generate insights and create models of learners and learning.
a) Data
b) Instructional Design
c) Assessment Design
d) Models & Insights
Answer: a",a,recall_elmnts_bigpic_skill,q10_recall_elmnts_bigpic_pool_b881fc586c724061ab0a5e17b789f404,"Activity gltl7_recall_elmnts_bigpic_poolq10_r_dlzto, part b881fc586c724061ab0a5e17b789f404 Multiple choice submission",!
elearning-mcq-58,Multiple Choice,"Which of the following belongs in 4 because it is used to guide and justify the decisions for model building and insight creation.
a) Instructional Design
b) Data
c) Goal setting
d) Theory
Answer: d",d,recall_elmnts_bigpic_skill,q11_recall_elmnts_bigpic_pool_c853947a4b2d4fb1af6aecdfa0289c91,"Activity gltl7_recall_elmnts_bigpic_poolq11_r_mbrn2, part c853947a4b2d4fb1af6aecdfa0289c91 Multiple choice submission",!
elearning-mcq-59,Multiple Choice,"Which of the following belongs in 5 because it is the consequence of data and theory and influences all other aspects of the design.
a) Models & Insights
b) Assessment Design
c) Instructional Design
d) Intuition & Experience
Answer: a",a,recall_elmnts_bigpic_skill,q12_recall_elmnts_bigpic_pool_e6e92e5de962474c848fa90810aecb72,"Activity gltl7_recall_elmnts_bigpic_poolq12_r_fwlux, part e6e92e5de962474c848fa90810aecb72 Multiple choice submission",!
elearning-mcq-60,Multiple Choice,"Which of the following belongs in 6 because it is directly influenced by models and insights and is used to collect data for model improvement.
a) Instructional Design
b) Assessment Design
c) Intuition & Experience
d) Goal setting
Answer: a",a,recall_elmnts_bigpic_skill,q13_recall_elmnts_bigpic_pool_c4629d74fade495b9e329605e8df0a31,"Activity gltl7_recall_elmnts_bigpic_poolq13_r_7vg1z, part c4629d74fade495b9e329605e8df0a31 Multiple choice submission",!
elearning-mcq-61,Multiple Choice,"Which of the following belongs in 7 because it results from instructional design and is used to improve models.
a) Instructional Design
b) Assessment Design
c) Data
d) Goal setting
Answer: c",c,recall_elmnts_bigpic_skill,q14_recall_elmnts_bigpic_pool_d479ae7e709847659f14efe28e3db5da,"Activity gltl7_recall_elmnts_bigpic_poolq14_r_1b2vo, part d479ae7e709847659f14efe28e3db5da Multiple choice submission",!
elearning-mcq-62,Multiple Choice,"Which of the following belongs in 8 because it is always in the background to be enhanced rather than replaced by models, data and theory.
a) Instructional Design
b) Intuition & Experience
c) Goal setting
d) Assessment Design
Answer: b",b,recall_elmnts_bigpic_skill,q15_recall_elmnts_bigpic_pool_d553b0adc96b4d529ed6aa190ce3ab1b,"Activity gltl7_recall_elmnts_bigpic_poolq15_r_lpbqi, part d553b0adc96b4d529ed6aa190ce3ab1b Multiple choice submission",!
elearning-mcq-63,Multiple Choice,"Marcie's lesson assigns her additional practice exercises based on her score on the end-of-lesson practice. Which unique feature of e-Learning is leveraged in Marcie's course?
a) Social software
b) Simulation
c) Guided discovery
d) Customized training
Answer: d",d,identify_good_bad_ugly_elrng_skill,q1_identify_good_bad_ugly_elrng_pool_ec4e951c15a94e7b9f00e53d5e184153,"Activity gltl7_identify_good_bad_ugly_elrng_p_c2nbp, part ec4e951c15a94e7b9f00e53d5e184153 Multiple choice submission",!
elearning-mcq-64,Multiple Choice,"In adaptive instruction, e-learning lessons tailor the instruction based on:
a) Age of the learner
b) Learning styles
c) Learner responses during the lesson
d) Learner preferences
Answer: c",c,identify_good_bad_ugly_elrng_skill,q2_identify_good_bad_ugly_elrng_pool_ccf0c83ccd79453bbb9ac769ce64e43f,"Activity gltl7_identify_good_bad_ugly_elrng_p_dxvxe, part ccf0c83ccd79453bbb9ac769ce64e43f Multiple choice submission",!
elearning-mcq-65,Multiple Choice,"Which e-learning pitfall does the screen below illustrate:
a) Too much of a good thing
b) Not enough of a good thing
c) Losing sight of the goal
d) Discovery learning
Answer: b",b,identify_good_bad_ugly_elrng_skill,q3_identify_good_bad_ugly_elrng_pool_b801b6ce89bd483abc39a7aa4975eb3b,"Activity gltl7_identify_good_bad_ugly_elrng_p_abuo2, part b801b6ce89bd483abc39a7aa4975eb3b Multiple choice submission",!
elearning-mcq-66,Multiple Choice,"Which e-learning pitfall does the screen below illustrate:
a) Too much of a good thing
b) Not enough of a good thing
c) Losing sight of the goal
d) Discovery learning
Answer: a",a,identify_good_bad_ugly_elrng_skill,q4_identify_good_bad_ugly_elrng_pool_f79c8102cac34963a7d108bbcf5ed352,"Activity gltl7_identify_good_bad_ugly_elrng_p_1vf30, part f79c8102cac34963a7d108bbcf5ed352 Multiple choice submission",!
elearning-mcq-67,Multiple Choice,"The goal of the below screenshot is to introduce the second of three phases of Gagne’s Nine Events of Instruction. Which e-learning pitfall does the screen below illustrate?
a) Too much of a good thing
b) Not enough of a good thing
c) Losing sight of the goal
d) Discovery learning
Answer: a",a,identify_good_bad_ugly_elrng_skill,q5_identify_good_bad_ugly_elrng_pool_c508fb334bdd4ee5b4d905e94e3ee85d,"Activity gltl7_identify_good_bad_ugly_elrng_p_juzxe, part c508fb334bdd4ee5b4d905e94e3ee85d Multiple choice submission",!
elearning-mcq-68,Multiple Choice,"The image below provides an introduction to Acute Renal Failure for nursing students. Which e-learning pitfall does the screen below illustrate?
a) Too much of a good thing
b) Not enough of a good thing
c) Losing sight of the goal
d) Discovery learning
Answer: b",b,identify_good_bad_ugly_elrng_skill~identify_good_bad_ugly_elrng_skill,q6_identify_good_bad_ugly_elrng_pool_d3730405bd394c9ebfae71c9f96298e5~q6_identify_good_bad_ugly_elrng_pool_d3730405bd394c9ebfae71c9f96298e5,"Activity gltl7_identify_good_bad_ugly_elrng_p_hmm9u, part d3730405bd394c9ebfae71c9f96298e5 Multiple choice submission~Activity gltl7_identify_good_bad_ugly_elrng_p_hmm9u, part d3730405bd394c9ebfae71c9f96298e5 Multiple choice submission",!
